<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
01/01/18;000000;13863.1400000;13889.0000000;12952.5000000;13480.0100000;5208
02/01/18;000000;13480.0000000;15275.0000000;13005.0100000;14781.5100000;10444
03/01/18;000000;14781.5200000;15400.0000000;14628.0000000;15098.1400000;8382
04/01/18;000000;15098.2300000;15400.0000000;14230.0000000;15144.9900000;9077
05/01/18;000000;15145.0000000;17178.0000000;14824.0500000;16960.0100000;9286
06/01/18;000000;16960.0100000;17174.0000000;16251.0100000;17098.9900000;5554
07/01/18;000000;17099.0000000;17115.0100000;15755.0100000;16174.2200000;4676
08/01/18;000000;16174.2200000;16275.0000000;14000.0000000;14993.7400000;9735
09/01/18;000000;14993.7300000;15384.0000000;14230.0000000;14480.9900000;6738
10/01/18;000000;14481.0000000;14875.1800000;13550.0100000;14875.1800000;10128
11/01/18;000000;14875.1700000;14970.0000000;12800.0100000;13308.0600000;11499
12/01/18;000000;13308.0600000;14080.8300000;12900.0000000;13820.0000000;6729
13/01/18;000000;13820.0000000;14500.0000000;13792.2500000;14187.9500000;4418
14/01/18;000000;14187.9400000;14332.8500000;13110.0000000;13656.2300000;4473
15/01/18;000000;13656.2300000;14253.0000000;13416.0000000;13590.0000000;4423
16/01/18;000000;13590.0000000;13643.6600000;9928.6200000;11570.0100000;20329
17/01/18;000000;11570.0100000;12358.8900000;9017.4200000;11200.0100000;22945
18/01/18;000000;11204.6400000;12122.5000000;10687.2100000;11305.5300000;13244
19/01/18;000000;11305.5300000;11973.9900000;11050.0000000;11498.9900000;7920
20/01/18;000000;11499.0000000;12985.5500000;11498.9900000;12762.8000000;8751
21/01/18;000000;12762.8000000;12762.8000000;11118.0000000;11518.1700000;7617
22/01/18;000000;11518.1700000;11849.0000000;10025.0000000;10766.7000000;10282
23/01/18;000000;10766.7000000;11370.0000000;9945.0000000;10824.9400000;9783
24/01/18;000000;10824.9500000;11450.0000000;10450.0000000;11356.7900000;7109
25/01/18;000000;11356.8000000;11690.0000000;10851.0000000;11118.0000000;5574
26/01/18;000000;11118.0000000;11570.0000000;10316.5000000;11086.8900000;8425
27/01/18;000000;11086.8800000;11494.0800000;10850.0000000;11319.0000000;5126
28/01/18;000000;11319.0000000;11695.0000000;11234.3800000;11536.0000000;6112
29/01/18;000000;11536.0000000;11570.0000000;10840.0000000;11123.0100000;4859
30/01/18;000000;11123.0100000;11150.0000000;9720.0000000;9995.0000000;11084
31/01/18;000000;9995.0000000;10299.9500000;9601.0200000;10099.9900000;8380
01/02/18;000000;10099.9900000;10166.0000000;8400.0000000;9014.2300000;14043
02/02/18;000000;9014.2200000;9090.0000000;7540.0000000;8787.5200000;18946
03/02/18;000000;8787.5200000;9499.0000000;8124.0900000;9240.0000000;10054
04/02/18;000000;9227.8000000;9350.0000000;7859.0000000;8167.9100000;9528
05/02/18;000000;8167.9000000;8349.1600000;6425.7500000;6905.1900000;21181
06/02/18;000000;6905.2000000;7944.6400000;5873.0000000;7688.4600000;36570
07/02/18;000000;7688.4700000;8650.0000000;7212.8200000;7575.7500000;21087
08/02/18;000000;7575.7600000;8625.0000000;7560.0000000;8218.1000000;13702
09/02/18;000000;8218.0700000;8700.0000000;7750.0000000;8671.0100000;10736
