<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
01/01/18;000000;741.2400000;764.9700000;727.1400000;759.0300000;55669
02/01/18;000000;759.0300000;878.5000000;759.0200000;865.0000000;195947
03/01/18;000000;865.0000000;949.9800000;850.1100000;938.3100000;166268
04/01/18;000000;938.1600000;994.8900000;906.0100000;949.0000000;174236
05/01/18;000000;949.0000000;1015.0000000;935.0000000;969.2700000;163404
06/01/18;000000;969.2700000;1009.1100000;961.2300000;1006.6800000;78601
07/01/18;000000;1006.6800000;1118.3000000;1003.0200000;1118.3000000;109091
08/01/18;000000;1118.3000000;1228.9900000;950.2300000;1137.0100000;210414
09/01/18;000000;1137.0100000;1297.5800000;1119.0000000;1290.0100000;153762
10/01/18;000000;1290.7300000;1386.7400000;1207.6100000;1246.9400000;215403
11/01/18;000000;1246.9500000;1335.0000000;1083.9700000;1137.0100000;195941
12/01/18;000000;1137.0100000;1285.0000000;1089.1800000;1260.0000000;121268
13/01/18;000000;1260.0000000;1419.9600000;1259.9900000;1386.0200000;113288
14/01/18;000000;1386.0100000;1389.1100000;1256.0100000;1365.4600000;80214
15/01/18;000000;1365.4600000;1380.9700000;1269.0000000;1278.6300000;76235
16/01/18;000000;1278.7700000;1285.5700000;852.0000000;1080.0000000;233112
17/01/18;000000;1080.0100000;1164.0000000;757.0000000;1028.0600000;358282
18/01/18;000000;1028.3100000;1100.0000000;951.0000000;1025.7800000;193348
19/01/18;000000;1025.7700000;1093.0000000;993.4000000;1037.4500000;100652
20/01/18;000000;1037.4500000;1164.9700000;1036.0800000;1150.0200000;96555
21/01/18;000000;1150.0200000;1151.0000000;1010.0100000;1047.1300000;84421
22/01/18;000000;1047.1300000;1080.0000000;917.0000000;999.6800000;110311
23/01/18;000000;999.6900000;1019.0000000;905.0000000;984.0300000;116916
24/01/18;000000;984.0300000;1056.9900000;952.0000000;1056.9900000;99516
25/01/18;000000;1056.9900000;1098.7400000;1015.0000000;1040.0000000;92749
26/01/18;000000;1040.0000000;1071.7500000;987.5400000;1045.5700000;76781
27/01/18;000000;1045.5800000;1116.9400000;1030.0000000;1100.0000000;65615
28/01/18;000000;1100.0000000;1224.0000000;1087.9400000;1215.0100000;98406
29/01/18;000000;1215.0100000;1221.7400000;1137.2000000;1162.2700000;73597
30/01/18;000000;1162.2800000;1171.0000000;1025.0000000;1054.3900000;115741
31/01/18;000000;1054.3900000;1121.0300000;1013.2500000;1105.0100000;93585
01/02/18;000000;1105.0100000;1143.0000000;930.0000000;1017.4800000;157292
02/02/18;000000;1017.5000000;1020.4800000;726.4300000;911.9900000;246733
03/02/18;000000;912.0000000;998.0000000;841.6100000;969.4000000;112741
04/02/18;000000;969.4000000;970.4000000;783.2700000;826.0000000;114029
05/02/18;000000;826.0100000;857.5000000;615.0000000;693.5400000;242736
06/02/18;000000;694.3000000;807.5000000;555.5600000;783.8300000;357153
07/02/18;000000;783.8500000;864.6800000;718.0300000;750.0400000;175999
08/02/18;000000;750.0500000;843.0000000;747.8200000;812.0000000;100329
09/02/18;000000;812.0000000;879.0000000;780.0000000;875.9900000;92572
10/02/18;000000;875.9900000;908.7600000;815.0000000;849.4700000;92587
11/02/18;000000;849.4600000;851.7700000;780.0000000;811.3500000;57971
12/02/18;000000;811.3800000;874.0300000;810.9900000;864.4000000;50649
13/02/18;000000;864.4000000;867.4800000;826.0000000;840.4900000;40193
14/02/18;000000;840.4900000;924.7000000;839.4500000;920.2600000;82887
15/02/18;000000;920.2400000;948.2300000;905.4900000;929.3000000;44738
16/02/18;000000;929.3000000;944.9200000;910.8000000;936.0200000;31486
17/02/18;000000;936.0200000;976.7900000;934.2000000;974.9900000;30102
18/02/18;000000;975.0000000;982.9900000;909.2800000;912.4100000;30699
19/02/18;000000;913.4000000;956.0000000;911.0000000;939.0100000;19017
20/02/18;000000;939.0100000;958.0000000;875.0000000;884.7600000;39451
21/02/18;000000;884.7700000;908.1700000;817.0100000;840.3400000;41660
22/02/18;000000;840.3100000;870.0000000;790.0100000;806.0000000;39881
23/02/18;000000;806.0000000;883.8900000;786.5900000;854.0100000;37014
24/02/18;000000;854.0100000;874.6600000;808.5000000;833.2000000;21183
25/02/18;000000;833.2000000;849.2600000;816.8900000;841.9600000;15091
26/02/18;000000;842.7900000;877.5000000;835.2100000;867.0900000;22141
27/02/18;000000;867.1000000;894.0000000;861.0000000;871.0700000;22724
28/02/18;000000;871.5900000;887.5000000;848.2100000;849.9900000;22715
01/03/18;000000;849.9900000;878.0000000;845.5400000;868.7400000;19016
02/03/18;000000;868.7500000;873.1200000;847.0000000;854.3100000;18971
03/03/18;000000;854.3000000;866.7200000;851.0400000;854.3400000;16519
04/03/18;000000;854.3600000;865.0000000;836.6000000;861.7400000;14219
05/03/18;000000;861.7400000;866.0000000;848.8300000;848.8300000;18187
06/03/18;000000;848.8300000;849.9700000;800.8900000;815.4300000;58828
07/03/18;000000;815.4400000;825.0000000;724.7100000;751.3800000;60929
08/03/18;000000;751.3800000;774.0000000;686.0000000;698.8300000;55886
09/03/18;000000;698.8100000;734.0000000;641.6000000;728.4600000;97287
10/03/18;000000;728.4600000;749.0000000;680.2000000;683.6000000;62313
11/03/18;000000;683.6000000;735.0000000;666.0000000;719.7900000;61374
12/03/18;000000;719.7900000;739.0000000;678.0000000;696.5100000;72242
13/03/18;000000;696.5100000;713.4500000;679.7800000;690.3900000;61122
14/03/18;000000;690.3200000;702.5000000;585.5200000;614.6300000;138652
15/03/18;000000;614.6300000;621.4700000;571.1600000;610.9900000;142001
16/03/18;000000;611.0000000;626.1300000;585.0000000;600.5100000;84026
17/03/18;000000;600.5200000;609.9400000;541.1100000;549.7900000;97431
18/03/18;000000;549.7900000;587.7400000;450.0000000;538.0000000;414032
19/03/18;000000;538.0100000;560.9000000;516.4000000;555.5500000;157015
20/03/18;000000;555.4400000;567.0400000;515.9700000;558.0000000;123255
21/03/18;000000;558.0000000;589.7500000;545.2000000;559.9800000;114212
22/03/18;000000;559.9900000;578.7300000;517.6000000;539.8900000;92697
23/03/18;000000;539.9000000;543.0400000;507.8400000;543.0400000;82669
24/03/18;000000;543.0400000;545.9400000;517.7000000;519.5700000;46552
25/03/18;000000;519.5800000;536.0000000;510.2000000;522.5500000;46621
26/03/18;000000;522.5500000;525.0000000;466.1000000;486.7500000;139018
27/03/18;000000;486.7500000;493.0000000;445.0000000;449.0000000;153747
28/03/18;000000;449.0000000;464.8900000;439.1800000;445.4700000;80954
29/03/18;000000;445.7400000;448.0000000;379.1000000;383.2900000;239017
30/03/18;000000;383.3000000;411.0000000;365.0000000;394.4600000;277049
31/03/18;000000;394.4700000;438.7700000;388.8800000;394.5400000;150719
01/04/18;000000;394.7300000;400.6500000;360.0000000;378.1800000;106799
02/04/18;000000;378.6900000;393.9600000;375.3600000;384.0000000;70586
03/04/18;000000;384.0000000;421.5900000;380.8900000;416.2800000;160459
04/04/18;000000;416.2900000;418.0000000;370.0800000;378.4300000;109167
05/04/18;000000;378.4200000;387.2000000;366.5400000;381.5500000;67740
06/04/18;000000;381.5500000;386.2100000;363.3300000;370.3200000;76825
07/04/18;000000;370.3200000;395.9000000;369.2000000;384.6100000;35158
08/04/18;000000;384.6200000;404.1000000;384.6100000;399.9000000;34667
09/04/18;000000;399.9000000;432.0000000;388.0000000;398.8000000;127498
10/04/18;000000;398.8000000;418.2600000;392.2500000;415.4500000;58828
11/04/18;000000;415.4500000;433.8300000;410.1100000;430.8100000;82914
12/04/18;000000;430.8200000;497.0000000;413.8100000;493.4100000;230140
13/04/18;000000;493.4200000;529.3600000;481.1800000;495.7600000;201099
14/04/18;000000;495.7600000;513.8600000;488.0000000;502.4000000;61059
15/04/18;000000;502.4000000;534.5700000;502.4000000;533.7400000;94587
16/04/18;000000;534.0000000;537.5000000;498.2900000;511.2800000;126273
17/04/18;000000;511.2900000;522.0000000;500.4900000;502.4200000;76657
18/04/18;000000;502.4300000;526.4900000;501.2000000;525.8900000;71567
19/04/18;000000;525.9000000;569.9500000;521.1800000;567.2900000;112092
20/04/18;000000;567.2900000;622.2200000;557.4000000;617.1700000;162327
21/04/18;000000;617.1700000;624.2100000;572.0000000;605.1600000;99566
22/04/18;000000;605.1600000;643.4700000;590.7000000;620.0700000;80253
23/04/18;000000;620.0800000;647.4700000;618.7000000;642.8500000;91074
24/04/18;000000;642.8500000;711.0000000;642.8500000;703.3800000;196820
25/04/18;000000;703.3800000;704.0000000;578.7500000;617.4900000;306388
26/04/18;000000;617.5000000;666.8200000;600.0000000;661.0000000;134812
